Source,Target,Gen_comp,ChrF,Cos_sim_t5,BLEU,RougeL
And they control.,And they wanted to control.,And they control.,51.7073744249,0.8849604726,0.0,0.7499999953125
No i was going.,No i was not going to.,No i was going to go.,56.8766913551,0.8697841167,0.0,0.8333333283333335
On you are.,Come on you are.,On you are.,55.3536325235,0.9109830856000001,0.0,0.5714285665306124
I become hard ass.,I had to become a hard ass.,I become hard ass.,51.4092127862,0.9011499286,0.0,0.7272727226446282
Ones is of suit.,No one is void of a suit.,One is of a suit.,45.1059907446,0.8138789535000001,0.38498150077635496,0.6666666618055556
To breathe all time.,Trying to breathe all the time.,To breathe all the time.,74.5152775111,0.8760802746,0.6431870218238024,0.7272727223140496
And run it computer.,And run it through the computer.,And run it on the computer.,63.7477555831,0.935734272,0.0,0.8333333283333335
He uh take uh.,He said uh take the uh.,He uh uh take uh.,36.529433423,0.9066631794000001,0.0,0.7499999953125
You should them here its birthday party.,You should wear them over here for your birthday party.,You should let them know here its birthday party.,50.7886892045,0.8318375945,0.0,0.6315789423822715
It all way.,Swing it all the way around.,It all is all right.,14.28391561,0.7094842792,0.0,0.1999999952000001
Well you do to clothe.,Well you do not have to put on any clothes.,Well you do not have to wear it.,54.1033354073,0.8534132838,0.48882903186579435,0.6666666617283951
Oh i what i going do.,Oh i know what i am going to do though.,Oh i am going to do what i am going to do.,55.8105813269,0.9245623350000001,0.4408231875586727,0.8749999950781251
And then course it out.,And then of course it came out fine.,And then you can just put it out.,27.7276733133,0.7504504919,0.0,0.4999999950000001
You just way around and that arm.,You can just swing all the way around and grab that arm.,You just just way around and that arm.,44.7303208781,0.8745446801000001,0.0,0.7368421006094183
I ask you.,I was just going to ask you.,I asked you.,15.1331812797,0.8768295646,0.0,0.3999999958
I one of person that trouble with auto reverses.,I am one of these weird people that has trouble with auto reverse.,I am one of person that has trouble with auto reverses.,66.7930817807,0.9721321464,0.46154154652979407,0.7499999950347224
And uh those what.,And uh that is what was happening.,And uh those are what.,27.9643873934,0.7261635065,0.0,0.499999995138889
Gradually bring it.,Just gradually bring it around.,Gradually bring it.,55.9785380216,0.9285005331,0.0,0.49999999531250006
She catch it.,She does not even catch it.,She caught it.,14.5725338629,0.8042885661,0.0,0.44444444000000005
Before i graduate.,Not before i graduate.,Before i graduate.,78.3707304349,0.9424684048,0.0,0.5714285665306124
Oh they must know.,Oh they must know each other.,Oh they must know.,58.8315979299,0.8126798272,0.4739878501170792,0.7999999952000001
We the right.,Are we doing the right.,We are the right.,44.9852088384,0.8178442121,0.0,0.4444444395061729
Over with i am at table there women.,Over with i am sitting down at a table there is a woman from.,Over with i am at the table there are women.,42.9706518299,0.8916116953000001,0.2084195394796976,0.6086956472589792
And then they.,And then they break.,And then they.,63.4265881838,0.7949978113,0.0,0.8571428522448981
We not talking stratosphere.,We are not talking stratosphere.,We are not talking about the stratosphere.,84.414450666,0.9772535563,0.4111336169005197,0.8333333284722222
I will have your other brothers well.,I will have to ask my other brothers as well.,I will have your other brothers well.,63.3866348158,0.8454315662,0.0,0.7058823480968859
I like chickens my pizza.,I do not like chicken in my pizza.,I like chickens my pizza.,59.9770607118,0.8203755021,0.0,0.6153846106508877
What we do then that the ferrier in.,What we do then that is where the ferrier comes in.,What we do then that the ferrier in.,60.4933423606,0.9696383476,0.4099453631759974,0.8421052582825486
It is you know.,It is such a great you know.,It is you know.,39.5906926644,0.8676326275,0.0,0.7272727226446282
Ne sais pas.,Je ne sais pas.,Ne sais pas.,70.3817441855,0.9681930542,0.0,0.5714285665306124
Thank you much.,Thank you so much.,Thank you very much.,59.5241913606,0.9466950893,0.0,0.749999995
Put canadian football league.,Put on the canadian football league.,Put canadian football league.,77.8597842352,0.9601672888,0.4739878501170792,0.7999999952000001
But it up that.,But it swelled up like that.,But it is up that.,29.2476382184,0.7488370538,0.0,0.7272727223140496
What we do.,What are we going to do now.,What we do.,15.1998372874,0.8231908083,0.0,0.5999999958
No it does.,No it does not go off.,No it does.,42.7673263479,0.8003805876000001,0.0,0.6666666622222223
Oh i do.,Oh i do not know.,Oh i do.,26.2854585901,0.7904192805,0.0,0.7499999953125
And we two them back.,And so we moved two of them back.,And we two them back.,40.1269968019,0.8363716006,0.0,0.7692307644970415
That sounds like screws things that ones i was you.,That sounds like those screws things that the one i was telling you about.,That sounds like screws things that i was gonna be a thief.,53.2834805876,0.7790519595000001,0.0,0.6153846104142012
So i said.,So i said fine.,So i said.,51.3264675541,0.8805770278,0.0,0.8571428522448981
Oh wait mis what you checkout counters.,Oh wait a mi what did you do at the checkout counter.,"Oh wait, what do you think you need to check the checkout counters.",55.1867648589,0.8684221506,0.0,0.4166666616666667
But did not get.,But did not get there.,But did not get to get.,69.1937351864,0.9233098626,0.4347208719449915,0.7999999950000002
You know i did her.,You know i did not want to thembarrass her.,You know i did not know i did her.,43.954088753,0.7591280937,0.4518010018049224,0.7999999952000001
Well or we it you the.,Well or we could take it back you know in the.,Well or we are not sure it is you.,27.6474668203,0.6882822514,0.0,0.4999999950500001
Who her living from this.,Who makes his living from doing this . mhm.,Who is her living from this.,39.4469877755,0.8378242254,0.0,0.5714285665306124
But anyway you they were teaching it way.,But anyway you know they were not teaching it that way.,But anyway you were teaching it to be a way.,53.2718896792,0.7839804888,0.0,0.6666666616780046
It has way.,It has a real way.,It has a way of a way.,41.5747531218,0.9071843624,0.0,0.7999999950000002
Because they were fucking me hard.,Because they were fucking me around so hard.,Because they were fucking me hard.,72.6065475603,0.9442747235000001,0.5313746898412454,0.8571428522448981
