Source,Target,Gen_comp,ChrF,Cos_sim_t5,BLEU,RougeL
And they control.,And they wanted to control.,And they control.,51.7073744249,0.8849604726,0.0,0.7499999953125
No i was going.,No i was not going to.,No i was going to.,62.6589270576,0.9272022247,0.0,0.9090909041322315
On you are.,Come on you are.,On you are.,55.3536325235,0.9109830856000001,0.0,0.5714285665306124
I become hard ass.,I had to become a hard ass.,I become hard ass.,51.4092127862,0.9011499286,0.0,0.7272727226446282
Ones is of suit.,No one is void of a suit.,One is of a suit.,45.1059907446,0.8138789535000001,0.38498150077635496,0.6666666618055556
To breathe all time.,Trying to breathe all the time.,To breathe all time.,54.4057549291,0.8196936846,0.0,0.5999999952
And run it computer.,And run it through the computer.,And run it on the computer.,63.7477555831,0.935734272,0.0,0.8333333283333335
He uh take uh.,He said uh take the uh.,He uh uh take uh.,36.529433423,0.9066631794000001,0.0,0.7499999953125
You should them here its birthday party.,You should wear them over here for your birthday party.,You should have them here at its birthday party.,51.7875771528,0.8539652228,0.0,0.6315789423822715
It all way.,Swing it all the way around.,It all went to the right way.,21.6298073907,0.698779881,0.0,0.4615384565680473
Well you do to clothe.,Well you do not have to put on any clothes.,Well you do do to clothe.,37.5020709169,0.7987103462,0.0,0.533333328888889
Oh i what i going do.,Oh i know what i am going to do though.,Oh i am going to do what i am going to do.,55.8105813269,0.9245623350000001,0.4408231875586727,0.8749999950781251
And then course it out.,And then of course it came out fine.,And then course it out.,44.4611546236,0.7286667228,0.0,0.7692307644970415
You just way around and that arm.,You can just swing all the way around and grab that arm.,You just just way around and that arm.,44.7303208781,0.8745446801000001,0.0,0.7368421006094183
I ask you.,I was just going to ask you.,I ask you.,27.1193863197,0.8701024055000001,0.0,0.5999999958
I one of person that trouble with auto reverses.,I am one of these weird people that has trouble with auto reverse.,I one of person that has trouble with auto reverses.,61.5628767144,0.970630765,0.32712647662989053,0.6956521689981097
And uh those what.,And uh that is what was happening.,And uh those are what.,27.9643873934,0.7261635065,0.0,0.499999995138889
Gradually bring it.,Just gradually bring it around.,Gradually bring it.,55.9785380216,0.9285005331,0.0,0.49999999531250006
She catch it.,She does not even catch it.,She caught it.,14.5725338629,0.8042885661,0.0,0.44444444000000005
Before i graduate.,Not before i graduate.,Before i graduate.,78.3707304349,0.9424684048,0.0,0.5714285665306124
Oh they must know.,Oh they must know each other.,Oh they must know.,58.8315979299,0.8126798272,0.4739878501170792,0.7999999952000001
We the right.,Are we doing the right.,We are the right.,44.9852088384,0.8178442121,0.0,0.4444444395061729
Over with i am at table there women.,Over with i am sitting down at a table there is a woman from.,Over with i am at the table there women.,42.8301900589,0.9069960117,0.20360578738768487,0.6363636315289257
And then they.,And then they break.,And then they are.,64.7737869615,0.8039069176,0.0,0.749999995
We not talking stratosphere.,We are not talking stratosphere.,We are not talking about stratosphere.,86.3206944157,0.9831396341,0.488923022434901,0.9090909041322315
I will have your other brothers well.,I will have to ask my other brothers as well.,I will have your other brothers well.,63.3866348158,0.8454315662,0.0,0.7058823480968859
I like chickens my pizza.,I do not like chicken in my pizza.,I like chickens my pizza.,59.9770607118,0.8203755021,0.0,0.6153846106508877
What we do then that the ferrier in.,What we do then that is where the ferrier comes in.,What we do then that the ferrier in.,60.4933423606,0.9696383476,0.4099453631759974,0.8421052582825486
It is you know.,It is such a great you know.,It is you know you know.,37.4835582196,0.8569551706,0.0,0.7272727226446282
Ne sais pas.,Je ne sais pas.,Ne sais pas.,70.3817441855,0.9681930542,0.0,0.5714285665306124
Thank you much.,Thank you so much.,Thank you very much.,59.5241913606,0.9466950893,0.0,0.749999995
Put canadian football league.,Put on the canadian football league.,Put canadian football league.,77.8597842352,0.9601672888,0.4739878501170792,0.7999999952000001
But it up that.,But it swelled up like that.,But it up is up that.,28.6672795462,0.7592737675,0.0,0.7272727223140496
What we do.,What are we going to do now.,What we do.,15.1998372874,0.8231908083,0.0,0.5999999958
No it does.,No it does not go off.,No it does.,42.7673263479,0.8003805876000001,0.0,0.6666666622222223
Oh i do.,Oh i do not know.,Oh i do.,26.2854585901,0.7904192805,0.0,0.7499999953125
And we two them back.,And so we moved two of them back.,And we two have them back.,40.7595786618,0.8794788122,0.0,0.7142857093877552
That sounds like screws things that ones i was you.,That sounds like those screws things that the one i was telling you about.,That sounds like screws that ones that I was i was.,42.987502159900004,0.9020688534,0.0,0.6086956474102081
So i said.,So i said fine.,So i said.,51.3264675541,0.8805770278,0.0,0.8571428522448981
Oh wait mis what you checkout counters.,Oh wait a mi what did you do at the checkout counter.,"Oh wait, what do you think you have to check the checkout counters.",55.1867648589,0.8701630831,0.0,0.4166666616666667
But did not get.,But did not get there.,But did not get to get.,69.1937351864,0.9233098626,0.4347208719449915,0.7999999950000002
You know i did her.,You know i did not want to thembarrass her.,You know i did not know she did.,42.6261720269,0.7592585087,0.41801342884834874,0.6666666618666668
Well or we it you the.,Well or we could take it back you know in the.,Well or we are not you.,24.9043111132,0.7156744003000001,0.0,0.4705882307266437
Who her living from this.,Who makes his living from doing this . mhm.,Who is she living from this.,39.9582889567,0.7517346144,0.0,0.5714285665306124
But anyway you they were teaching it way.,But anyway you know they were not teaching it that way.,But anyway you were teaching it to the way.,55.2564858514,0.7716566324,0.0,0.6999999950500001
It has way.,It has a real way.,It has a way.,44.6996130981,0.8840691447000001,0.0,0.8888888839506174
Because they were fucking me hard.,Because they were fucking me around so hard.,Because they were fucking me hard.,72.6065475603,0.9442747235000001,0.5313746898412454,0.8571428522448981
I did think they but i they maybe.,I did not think they were but i think they maybe are.,I did think they were but i think they are.,70.3948052797,0.9211984277,0.5724456222626466,0.8888888839506174
I us into that.,I mean let us look into pursuing that.,I'm going to go into that.,23.2753861136,0.7931009531000001,0.0,0.2857142808163266
And i you make good dingo.,And i said oh well you must make good dingo.,And i will make good dingo.,46.167763361,0.8925662041,0.27610369103579485,0.6249999953125001
And you breadbox like your cabinet.,And said oh whwhen you see a dark brown breadbox like your cabinets.,And you breadbox like your cabinet.,46.6936474965,0.8810949326,0.0,0.5263157851523547
They have real trails.,They have real pretty trails.,They have real trails.,64.861061641,0.9498020411,0.0,0.8888888839506174
I voting favor of it.,I am voting in favor of it.,I'm voting favor of it.,65.8995824132,0.9876766205,0.38498150077635496,0.6666666618055556
You are probably.,You are probably trying.,You are probably.,67.0004565663,0.8701651692,0.0,0.8571428522448981
I like twentytwo kids.,I have like twentytwo kids.,I like twenty two kids.,79.2732940476,0.8888557553,0.0,0.5999999950000001
Me see if we milk.,Let me see if we have enough milk.,Me see if we milk.,35.5424857691,0.8803880215000001,0.0,0.6153846106508877
When you to be.,When are you going to be here till.,When you should be.,15.3858770033,0.7950816154,0.0,0.49999999555555563
I if you sa.,I wondered if you would sa.,I if you sa.,20.1311574447,0.8649858236,0.0,0.7999999952000001
It so it.,It had so much wrong with it.,It is so it.,10.9908034872,0.6648491621,0.0,0.5454545408264463
They faith in system.,They lost faith in the system.,They faith in the system.,73.8130252934,0.8316688538,0.6731821382417487,0.9090909041322315
But you see that is always me but it comes.,But you see that is always worked for me too but it comes back.,But you see that is always me but it comes.,59.9149091536,0.8442454338000001,0.4295749364443061,0.8333333284722222
I know somebody who a living musician.,I know somebody who makes a living as a musician.,I know somebody who is a living musician.,69.7381569829,0.9816385508000001,0.3229365231336652,0.823529406782007
I not had ice cubes september.,Only i have not had ice cubes here since september.,I did not have ice cubes September.,43.0801644972,0.9116172791,0.0,0.3529411716262976
If i way.,If i said no way.,If i i am going to go.,13.8865087454,0.7566938400000001,0.0,0.36363635867768596
I do i thethey they did,I do not know i do not know thethey they did not.,I do i do i think the the they did did.,31.8095592715,0.8102785349,0.0,0.6666666616888889
And i you.,And i will catch you.,And i know you.,23.3704687775,0.7946189642,0.0,0.6666666617283951
People have information they.,People have the information they need.,People have information they have.,70.8375545468,0.9297615290000001,0.0,0.7999999952000001
I had a few weeks.,I have had a few this week.,I had a few weeks.,38.9604080458,0.8049088717,0.0,0.6666666618055556
Never had that.,Never had that happen before.,Never had that.,47.6504273774,0.8671255708000001,0.0,0.7499999953125
He did me though.,He did not bow to me though.,He did me though.,48.912817668,0.7821786404000001,0.0,0.7272727226446282
From lifting up hood and it.,Just from lifting up the hood and looking at it.,From lifting up the hood and it.,60.2184743162,0.9454905987000001,0.40866465020165643,0.7058823480968859
And all about sick barbara jean she tiny and.,And told all about how sick barbara jean was when she was tiny and.,And all about sick barbara jean she tiny and.,55.3285458813,0.9101015329000001,0.0,0.8181818133471075
So those would just places.,So those would just be places to start from.,So those would just be just places.,60.7321181911,0.8785444498,0.4379518644116554,0.7999999952000001
Big or go all.,Go big or do not go at all.,Big or go all.,24.2524320968,0.9115117788,0.0,0.49999999555555563
And then it comes insulin do.,And then it comes down when the insulins finally do get working.,And then it comes to insulin do.,37.3537523317,0.8622475266,0.20479259709128803,0.5263157848199447
They got office here in nappa.,They have got an office here in nappa.,They got office here in nappa.,65.8375169626,0.9755506516,0.5025431541540228,0.8571428522448981
Any question way up norm.,Have any questions on the way up ask norm.,Any question is way up norm.,42.3103869088,0.8339890838,0.0,0.39999999520000007
Now you are going back.,Now you are not going to go back.,Now you are going back.,50.5448836388,0.8742554188,0.0,0.7692307644970415
You not see him.,You should not see him again.,You don't see him.,29.9168809089,0.7327129245,0.0,0.5999999952
And play sides b a side b.,And play side a then side b then side a side b.,And play sides b a side b.,43.4279852766,0.9397556186,0.22871025343125118,0.8333333283333335
Where you they.,Where would you suggest they would go.,Where you are you.,16.895978543200002,0.7264143229000001,0.0,0.44444444000000005
Without the risk of killed.,Without running the risk of getting killed.,Without the risk of being killed.,56.8707370991,0.9671492577,0.0,0.7692307642603551
I did see her.,I did not see her.,I did see her.,53.3290988314,0.8463385105000001,0.0,0.8888888839506174
I on them.,I always comment on them.,I'm on them.,28.6120897828,0.7920275927,0.0,0.49999999531250006
And he that bag it his back again.,And then he picked that bag up put it on his back again.,And he that bag it again his back again.,45.8858528063,0.9286780357000001,0.23174357227666326,0.7619047571882087
It is like i need talk windham those.,It is like i need to talk to windham about this.,It is like i need to talk windham those.,63.609878097,0.9273047447,0.5570438815301075,0.8421052581717452
Oh these sounds.,Oh that sounds great.,Oh these sounds.,35.0280463918,0.7701712847000001,0.0,0.5714285665306124
You see it.,You know to see it.,You see it.,37.0184271551,0.9036370516000001,0.0,0.7499999953125
For them you.,For them you know.,For them you.,64.5182052512,0.9143196344000001,0.0,0.8571428522448981
Now mister collins like that.,Now mister collins may not like that.,Now mister collins like that.,72.7632299826,0.8733928204,0.0,0.8333333284722222
And they two oldest one ten.,And they looked the two oldest ones looked like ten.,And they have two oldest one ten.,46.3881078258,0.8964686394,0.0,0.6249999950781252
Groucho one heart.,Groucho got one heart.,Groucho one heart.,67.6471145066,0.9644604921000001,0.0,0.8571428522448981
She twice as he.,She is like twice as big as he is now.,She twice as he.,31.9621704823,0.8836044669,0.0,0.6666666622222223
I they ask.,I know they still ask.,I asked them to ask.,20.730567301,0.8254288435,0.0,0.3999999950000001
Oh i i.,Oh i know i know.,Oh i i i.,12.0723390092,0.8186820745000001,0.0,0.7999999952000001
I said you me better than i myself.,I said how do you know me better than i know myself.,I said you know me better than i myself.,66.2520911036,0.9227071404,0.473340693604577,0.8999999950500001
How is labor today it power.,How is labor today mobilizing its great power.,How is labor today it power.,51.6092288295,0.8931988478,0.3674145494215667,0.7142857093877552
Not round stones moon but stones.,Now not round stones like the moon but jagged stones.,Not round stones moon but stones.,51.2478273378,0.8846137524000001,0.0,0.5714285668367348
You know who i will.,You know who i will stick up for.,You know who I will know.,42.2739613673,0.8898841739000001,0.0,0.6153846106508877
It is too sun did come.,It is too bad the sun did not come out.,It is too too sun did come.,39.493080876,0.7940199971,0.0,0.7499999953125
Yeah she investments officer.,Yeah she was meeting with a investment officer so.,Yeah she is an investment officer.,53.2892308281,0.9303269386,0.0,0.5333333285333334
And he fred i to you here.,And he goes fred i want to talk to you come here.,And he fred i fred i to you here.,29.8666966217,0.8420770168,0.0,0.7777777730246914
And the uhs the seventhirtyseven four.,And watch out for the uh the seventhirtyseven four.,And the uhs the seventhirtyseven four.,64.5476824971,0.8920782804,0.29640095400745814,0.6153846106508877
He there is conflicts.,He feels there is a conflict.,He has a conflict.,45.7697744773,0.9464819431,0.0,0.5999999952
They come oba.,They had apparently just come from oba.,They come oba.,18.0146960184,0.8701379299,0.0,0.5999999958
Let them that he was that.,So let them know that he was doing that.,Let them know that he was that.,67.1263972757,0.9372684956,0.4630777161991027,0.7142857093877552
I do get this.,See i do not get that.,I do get this.,22.7718211009,0.7766009569000001,0.0,0.39999999520000007
The farm they had uh.,Even living on the farm they all had uh.,The farm they had uh.,40.8596742947,0.8674931526,0.0,0.5714285668367348
There was just so this whole.,There was just so much to this whole.,There was just so this whole.,74.9434355982,0.8838100433,0.44683107184405757,0.8571428522448981
Who knows a thing when he is it them up.,Who knows a good thing when he is on to it calls them up.,Who knows a thing when he is it up.,48.0573570603,0.822347343,0.2636715372516468,0.782608690888469
And you can proposals twenty north clark street.,And you can drop off those proposals at twenty north clark street.,And you can propose twenty north clark street.,62.5658324708,0.8933979273,0.3827521065936582,0.6999999952000001
Do you what you dr.,Do you know what you want to dr.,Do you know what you dr.,67.4764725962,0.9160349369,0.5313746898412454,0.8333333284722222
You have it the middles.,You do not have it in the middle.,You have it in the middles.,68.4136875101,0.8942114115,0.34191776499651855,0.7142857093877552
I thought you how to this.,Here i thought you knew how to do this.,I thought you thought you would know how to do this.,59.7168164446,0.9530068636000001,0.3646285861936466,0.6666666616666668
But if you there are registers.,But if you notice there are no registers in here.,But if you have there are registers.,53.3290496919,0.7681744695,0.0,0.7058823480968859
No you it.,No you should see it.,No you it.,25.1155118202,0.7802925110000001,0.0,0.7499999953125
I will worry it.,I will not have to worry about it.,I will worry about it.,56.4633184342,0.8574317694,0.3665113625996641,0.7692307644970415
