Source,Target,Gen_comp,ChrF,Cos_sim_t5,BLEU,RougeL
And they control.,And they wanted to control.,And they are in control.,51.3676069434,0.8470417857,0.0,0.5999999950000001
No i was going.,No i was not going to.,No i was going to go.,56.8766913551,0.8697841167,0.0,0.8333333283333335
On you are.,Come on you are.,On you are not.,44.6693541833,0.8519128561,0.0,0.4999999950000001
I become hard ass.,I had to become a hard ass.,I have become a hard ass.,72.9999382491,0.9413146973000001,0.5578002860768766,0.7692307642603551
Ones is of suit.,No one is void of a suit.,One is is not a suit.,32.5191632346,0.8098430634,0.0,0.499999995138889
To breathe all time.,Trying to breathe all the time.,To breathe all the time.,74.5152775111,0.8760802746,0.6431870218238024,0.7272727223140496
And run it computer.,And run it through the computer.,And run it on the computer.,63.7477555831,0.935734272,0.0,0.8333333283333335
He uh take uh.,He said uh take the uh.,He uh took a uh.,19.6294873546,0.8861886263000001,0.0,0.4444444395061729
You should them here its birthday party.,You should wear them over here for your birthday party.,You should have them here at its birthday party.,51.7875771528,0.8539652228,0.0,0.6315789423822715
It all way.,Swing it all the way around.,It all the way.,41.2998485761,0.8282747269,0.0,0.5999999952
Well you do to clothe.,Well you do not have to put on any clothes.,Well you do not want to wear clothes.,52.9394171148,0.9378677607,0.29538720207860775,0.6666666617283951
Oh i what i going do.,Oh i know what i am going to do though.,Oh i don't know what i am going to do.,69.0738151882,0.8347665071,0.6484115071397645,0.888888883888889
And then course it out.,And then of course it came out fine.,And then of course it was a little bit out.,58.1783873837,0.7513661385,0.3816330911371337,0.6666666617283951
You just way around and that arm.,You can just swing all the way around and grab that arm.,You just have to go around and that arm.,38.5573008017,0.8993593454000001,0.0,0.5714285665306124
I ask you.,I was just going to ask you.,I would ask you.,28.9017885021,0.8628561497,0.0,0.5454545408264463
I one of person that trouble with auto reverses.,I am one of these weird people that has trouble with auto reverse.,I am one of the people that have trouble with auto reverses.,75.2627883655,0.9710278511,0.29633403702962485,0.7199999950079999
And uh those what.,And uh that is what was happening.,And uh those what.,28.0207728884,0.7240396142000001,0.0,0.5454545408264463
Gradually bring it.,Just gradually bring it around.,Gradually bring it up.,55.650540071500004,0.9197477102,0.0,0.4444444395061729
She catch it.,She does not even catch it.,She caught it.,14.5725338629,0.8042885661,0.0,0.44444444000000005
Before i graduate.,Not before i graduate.,Before i graduate.,78.3707304349,0.9424684048,0.0,0.5714285665306124
Oh they must know.,Oh they must know each other.,Oh they must know.,58.8315979299,0.8126798272,0.4739878501170792,0.7999999952000001
We the right.,Are we doing the right.,We have the right.,42.5311578617,0.8046441078000001,0.0,0.4444444395061729
Over with i am at table there women.,Over with i am sitting down at a table there is a woman from.,Over with i am at the table there are women.,42.9706518299,0.8916116953000001,0.2084195394796976,0.6086956472589792
And then they.,And then they break.,And then they sat down.,58.3873456661,0.7347297072000001,0.0,0.6666666617283951
We not talking stratosphere.,We are not talking stratosphere.,We are not talking about the stratosphere.,84.414450666,0.9772535563,0.4111336169005197,0.8333333284722222
I will have your other brothers well.,I will have to ask my other brothers as well.,I will have your other brothers well.,63.3866348158,0.8454315662,0.0,0.7058823480968859
I like chickens my pizza.,I do not like chicken in my pizza.,I like to put chicken on my pizza.,54.3090802113,0.8287975788,0.0,0.624999995
What we do then that the ferrier in.,What we do then that is where the ferrier comes in.,What we do then is that we put the ferrier in.,53.9253922122,0.9413897395,0.30289764018096393,0.7619047569160999
It is you know.,It is such a great you know.,It is not you know.,43.8699875715,0.7817949057,0.0,0.6666666618055556
Ne sais pas.,Je ne sais pas.,I don't know.,2.8248587571,0.8886681199,0.0,0.0
Thank you much.,Thank you so much.,Thank you very much.,59.5241913606,0.9466950893,0.0,0.749999995
Put canadian football league.,Put on the canadian football league.,Put canadian football league.,77.8597842352,0.9601672888,0.4739878501170792,0.7999999952000001
But it up that.,But it swelled up like that.,But it is up to you to decide that.,31.9852482631,0.6369581223,0.0,0.5714285665306124
What we do.,What are we going to do now.,What do we do.,16.6051256113,0.9252278805,0.0,0.5999999958
No it does.,No it does not go off.,No it does not.,63.4265881838,0.8297436833,0.4739878501170792,0.7999999952000001
Oh i do.,Oh i do not know.,Oh i do not.,56.7220819221,0.8445239067,0.5789300674674098,0.8888888839506174
And we two them back.,And so we moved two of them back.,And we have two of them back.,57.9774162887,0.8902189732,0.4962644776757998,0.7999999950222222
That sounds like screws things that ones i was you.,That sounds like those screws things that the one i was telling you about.,That sounds like screws things that i was going to be able to do for you.,54.2458188313,0.8051047325,0.0,0.6206896501783592
So i said.,So i said fine.,So i said.,51.3264675541,0.8805770278,0.0,0.8571428522448981
Oh wait mis what you checkout counters.,Oh wait a mi what did you do at the checkout counter.,Oh wait mis what do you mean checkout counters.,52.7660954178,0.8689392805,0.0,0.47619047129251707
But did not get.,But did not get there.,But did not get to.,71.0379785842,0.9454382062000001,0.537284965911771,0.7999999950000002
You know i did her.,You know i did not want to thembarrass her.,You know i did not do her.,44.6896099192,0.7891094685000001,0.4630777161991027,0.7499999950781251
Well or we it you the.,Well or we could take it back you know in the.,Well or we can do it for you the.,32.5973650714,0.8035053015,0.0,0.5999999950500001
Who her living from this.,Who makes his living from doing this . mhm.,Who is making her living from this.,43.4943051515,0.8652502298,0.0,0.5333333283555556
But anyway you they were teaching it way.,But anyway you know they were not teaching it that way.,But anyway you know they were teaching it the wrong way.,76.9053377137,0.9048033953,0.5156626918239822,0.8181818131818183
It has way.,It has a real way.,It has a way of doing that.,34.8002309527,0.8113262653000001,0.0,0.6666666618055556
Because they were fucking me hard.,Because they were fucking me around so hard.,Because they were fucking me hard.,72.6065475603,0.9442747235000001,0.5313746898412454,0.8571428522448981
I did think they but i they maybe.,I did not think they were but i think they maybe are.,I did think they were but i think they might be.,69.8319020732,0.947496891,0.5390594848489677,0.7368421002770082
I us into that.,I mean let us look into pursuing that.,I want to get us into that.,24.4453600678,0.8645169735,0.0,0.5333333283555556
And i you make good dingo.,And i said oh well you must make good dingo.,And i think you make a good dingo.,40.9847158512,0.884329915,0.0,0.6666666617283951
And you breadbox like your cabinet.,And said oh whwhen you see a dark brown breadbox like your cabinets.,And you have a breadbox like your cabinet.,47.36328795,0.8831641674,0.0,0.5714285667120181
They have real trails.,They have real pretty trails.,They have real trails.,64.861061641,0.9498020411,0.0,0.8888888839506174
I voting favor of it.,I am voting in favor of it.,I am voting in favor of it.,100.0,1.0000001192,1.0,0.999999995
You are probably.,You are probably trying.,You are probably not.,66.3692941487,0.821985364,0.0,0.749999995
I like twentytwo kids.,I have like twentytwo kids.,I like twentytwo kids.,79.2732940476,0.8907819986000001,0.5789300674674098,0.8888888839506174
Me see if we milk.,Let me see if we have enough milk.,Me see if we have any milk.,51.346162871,0.9328991175,0.3628241434631103,0.6666666616888889
When you to be.,When are you going to be here till.,When you want to be.,20.1935498429,0.7933779955,0.0,0.6153846106508877
I if you sa.,I wondered if you would sa.,I would if you sa.,38.8294469744,0.886882782,0.0,0.7272727223140496
It so it.,It had so much wrong with it.,It is so much fun.,22.792442689,0.6602858305,0.0,0.499999995138889
They faith in system.,They lost faith in the system.,They have faith in the system.,71.1943817053,0.8255999088,0.6434588841607617,0.8333333283333335
But you see that is always me but it comes.,But you see that is always worked for me too but it comes back.,But you see that is always me but it comes.,59.9149091536,0.8442454338000001,0.4295749364443061,0.8333333284722222
I know somebody who a living musician.,I know somebody who makes a living as a musician.,I know somebody who is a living musician.,69.7381569829,0.9816385508000001,0.3229365231336652,0.823529406782007
I not had ice cubes september.,Only i have not had ice cubes here since september.,I have not had ice cubes since september.,73.6228567742,0.9635800123,0.4779995354275014,0.7777777728395062
If i way.,If i said no way.,If i could find a way.,26.7856928429,0.7937705517,0.0,0.5454545404958678
I do i thethey they did,I do not know i do not know thethey they did not.,I do i think thethey they did not.,51.1181904096,0.8945242763000001,0.3403200951522627,0.874999995
And i you.,And i will catch you.,And i will tell you.,49.1468632941,0.8285439014,0.0,0.7999999950000002
People have information they.,People have the information they need.,People have the information they need.,100.0,1.0,1.0,0.999999995
I had a few weeks.,I have had a few this week.,I had been there for a few weeks.,27.5701417673,0.7832211256,0.0,0.5333333283555556
Never had that.,Never had that happen before.,Never had that.,47.6504273774,0.8671255708000001,0.0,0.7499999953125
He did me though.,He did not bow to me though.,He did not do me though.,67.6986661278,0.8600082994,0.0,0.7692307642603551
