Source,Target,Gen_comp,ChrF,Cos_sim_t5,BLEU,RougeL
And they control.,And they wanted to control.,And they control.,51.7073744249,0.8849604726,0.0,0.7499999953125
No i was going.,No i was not going to.,No i was going to go.,56.8766913551,0.8697841167,0.0,0.8333333283333335
On you are.,Come on you are.,On you are.,55.3536325235,0.9109830856000001,0.0,0.5714285665306124
I become hard ass.,I had to become a hard ass.,I have become a hard ass.,72.9999382491,0.9413146973000001,0.5578002860768766,0.7692307642603551
Ones is of suit.,No one is void of a suit.,One is of suit.,28.4478858779,0.8175872564000001,0.0,0.5454545408264463
To breathe all time.,Trying to breathe all the time.,To breathe all the time.,74.5152775111,0.8760802746,0.6431870218238024,0.7272727223140496
And run it computer.,And run it through the computer.,And run it on the computer.,63.7477555831,0.935734272,0.0,0.8333333283333335
He uh take uh.,He said uh take the uh.,He uh took uh.,18.8730926608,0.9017982483,0.0,0.49999999531250006
You should them here its birthday party.,You should wear them over here for your birthday party.,You should put them here for its birthday party.,56.9675562232,0.8672732115,0.0,0.7368421002770082
It all way.,Swing it all the way around.,It all goes all the way.,38.7198487741,0.8103717566,0.0,0.5454545404958678
Well you do to clothe.,Well you do not have to put on any clothes.,Well you do not have to do to clothe.,63.8979087162,0.9558163881,0.4861555413051454,0.7058823480968859
Oh i what i going do.,Oh i know what i am going to do though.,Oh i don't know what i'm going to do.,55.8087528397,0.8349810243,0.0,0.7777777727777778
And then course it out.,And then of course it came out fine.,And then course it out.,44.4611546236,0.7286667228,0.0,0.7692307644970415
You just way around and that arm.,You can just swing all the way around and grab that arm.,You just go around and around and around and that arm.,37.5186468267,0.8840072751,0.0,0.6315789427146814
I ask you.,I was just going to ask you.,I ask you to.,23.9878070765,0.8257170916000001,0.0,0.5454545408264463
I one of person that trouble with auto reverses.,I am one of these weird people that has trouble with auto reverse.,I am one of the people that have trouble with the auto reverse.,70.9797688608,0.9742990732000001,0.31314224813827346,0.7999999950080001
And uh those what.,And uh that is what was happening.,And uh those are what.,27.9643873934,0.7261635065,0.0,0.499999995138889
Gradually bring it.,Just gradually bring it around.,Gradually bring it in.,55.650540071500004,0.9418076277,0.0,0.4444444395061729
She catch it.,She does not even catch it.,She caught it.,14.5725338629,0.8042885661,0.0,0.44444444000000005
Before i graduate.,Not before i graduate.,Before i graduate.,78.3707304349,0.9424684048,0.0,0.5714285665306124
Oh they must know.,Oh they must know each other.,Oh they must know.,58.8315979299,0.8126798272,0.4739878501170792,0.7999999952000001
We the right.,Are we doing the right.,We are the right.,44.9852088384,0.8178442121,0.0,0.4444444395061729
Over with i am at table there women.,Over with i am sitting down at a table there is a woman from.,Over with i am at the table there are women.,42.9706518299,0.8916116953000001,0.2084195394796976,0.6086956472589792
And then they.,And then they break.,And then they were all gone.,60.2298248245,0.7484570742000001,0.0,0.5999999952
We not talking stratosphere.,We are not talking stratosphere.,We are not talking about the stratosphere.,84.414450666,0.9772535563,0.4111336169005197,0.8333333284722222
I will have your other brothers well.,I will have to ask my other brothers as well.,I will have your other brothers well.,63.3866348158,0.8454315662,0.0,0.7058823480968859
I like chickens my pizza.,I do not like chicken in my pizza.,I like chickens on my pizza.,64.51011851,0.82892555,0.0,0.5714285665306124
What we do then that the ferrier in.,What we do then that is where the ferrier comes in.,What do we do then that the ferrier comes in.,70.6659349783,0.9368965626,0.5509785767132415,0.8999999950500001
It is you know.,It is such a great you know.,It is not you know.,43.8699875715,0.7817949057,0.0,0.6666666618055556
Ne sais pas.,Je ne sais pas.,Ne sais pas.,70.3817441855,0.9681930542,0.0,0.5714285665306124
Thank you much.,Thank you so much.,Thank you very much.,59.5241913606,0.9466950893,0.0,0.749999995
Put canadian football league.,Put on the canadian football league.,Put canadian football league.,77.8597842352,0.9601672888,0.4739878501170792,0.7999999952000001
But it up that.,But it swelled up like that.,But it's up to that.,27.8955984932,0.7144140005,0.0,0.5454545404958678
What we do.,What are we going to do now.,What do we do.,16.6051256113,0.9252278805,0.0,0.5999999958
No it does.,No it does not go off.,No it does not.,63.4265881838,0.8297436833,0.4739878501170792,0.7999999952000001
Oh i do.,Oh i do not know.,Oh i do.,26.2854585901,0.7904192805,0.0,0.7499999953125
And we two them back.,And so we moved two of them back.,And we two brought them back.,38.401556527,0.8858298063000001,0.0,0.7142857093877552
That sounds like screws things that ones i was you.,That sounds like those screws things that the one i was telling you about.,That sounds like it screws things that ones i was thinking of.,54.1464766756,0.8383091688000001,0.0,0.6153846104142012
So i said.,So i said fine.,So i said.,51.3264675541,0.8805770278,0.0,0.8571428522448981
Oh wait mis what you checkout counters.,Oh wait a mi what did you do at the checkout counter.,Oh wait mis what are you doing at the checkout counter.,67.0376493098,0.9345798492,0.35722810851910414,0.6956521689224953
But did not get.,But did not get there.,But did not get to.,71.0379785842,0.9454382062000001,0.537284965911771,0.7999999950000002
You know i did her.,You know i did not want to thembarrass her.,You know i did not do it.,40.6247124027,0.7349805236,0.4213952948452608,0.6249999950781252
Well or we it you the.,Well or we could take it back you know in the.,Well or we know it you know the.,41.6410326686,0.7586019039,0.0,0.7777777730246914
Who her living from this.,Who makes his living from doing this . mhm.,Who makes her living from this.,52.9822989293,0.8716579080000001,0.0,0.7142857093877552
But anyway you they were teaching it way.,But anyway you know they were not teaching it that way.,But anyway you know they were teaching it that way.,88.1195166329,0.8458865881000001,0.7426141117870938,0.9523809473922903
It has way.,It has a real way.,It has a way.,44.6996130981,0.8840691447000001,0.0,0.8888888839506174
