Source,Target,Gen_comp,ChrF,Cos_sim_t5,BLEU,RougeL
And they control.,And they wanted to control.,And they have no control.,55.8773279997,0.7786475420000001,0.0,0.5999999950000001
No i was going.,No i was not going to.,No i was going to.,62.6589270576,0.9272022247,0.0,0.9090909041322315
On you are.,Come on you are.,On you are.,55.3536325235,0.9109830856000001,0.0,0.5714285665306124
I become hard ass.,I had to become a hard ass.,I have become hard as a.,43.8578798801,0.846353054,0.0,0.4615384565680473
Ones is of suit.,No one is void of a suit.,One is of a suit.,45.1059907446,0.8138789535000001,0.38498150077635496,0.6666666618055556
To breathe all time.,Trying to breathe all the time.,To breathe all the time.,74.5152775111,0.8760802746,0.6431870218238024,0.7272727223140496
And run it computer.,And run it through the computer.,And run it on the computer.,63.7477555831,0.935734272,0.0,0.8333333283333335
He uh take uh.,He said uh take the uh.,He uh take uh.,36.5144748156,0.9061126113,0.0,0.7499999953125
You should them here its birthday party.,You should wear them over here for your birthday party.,You should have them here at its birthday party.,51.7875771528,0.8539652228,0.0,0.6315789423822715
It all way.,Swing it all the way around.,It goes all the way.,36.5913361274,0.8236409426,0.0,0.5454545404958678
Well you do to clothe.,Well you do not have to put on any clothes.,Well you do not have to wear a cloth.,60.087993879,0.8831343651,0.4861555413051454,0.6315789423822715
Oh i what i going do.,Oh i know what i am going to do though.,Oh i know what i am going to do.,78.4350944235,0.9857065678,0.8176129038784518,0.9411764656055364
And then course it out.,And then of course it came out fine.,And then of course it will come out.,65.3067660309,0.7865941525,0.48549177170732344,0.749999995
You just way around and that arm.,You can just swing all the way around and grab that arm.,You just have to go around and get that arm.,40.4683281438,0.8887614608000001,0.0,0.5454545404958678
I ask you.,I was just going to ask you.,I will ask you.,28.3933449754,0.8657022715,0.0,0.5454545408264463
I one of person that trouble with auto reverses.,I am one of these weird people that has trouble with auto reverse.,I am one of the people that has trouble with auto reverse.,83.6974072077,0.9803122282000001,0.7048050905062194,0.879999995008
And uh those what.,And uh that is what was happening.,And uh those are what.,27.9643873934,0.7261635065,0.0,0.499999995138889
Gradually bring it.,Just gradually bring it around.,Gradually bring it.,55.9785380216,0.9285005331,0.0,0.49999999531250006
She catch it.,She does not even catch it.,She did not catch it.,42.4058515966,0.9288449287,0.0,0.7272727223140496
Before i graduate.,Not before i graduate.,Before i graduate.,78.3707304349,0.9424684048,0.0,0.5714285665306124
Oh they must know.,Oh they must know each other.,Oh they must know.,58.8315979299,0.8126798272,0.4739878501170792,0.7999999952000001
We the right.,Are we doing the right.,We are going to the right.,54.353855225,0.8185614347,0.0,0.36363635867768596
Over with i am at table there women.,Over with i am sitting down at a table there is a woman from.,Over with i am sitting at the table there with the women.,55.3733338801,0.8993005753000001,0.3036666402577617,0.6956521689981097
And then they.,And then they break.,And then they.,63.4265881838,0.7949978113,0.0,0.8571428522448981
We not talking stratosphere.,We are not talking stratosphere.,We are not talking about the stratosphere.,84.414450666,0.9772535563,0.4111336169005197,0.8333333284722222
I will have your other brothers well.,I will have to ask my other brothers as well.,I will have to have your other brothers well.,67.0978242785,0.8847360611,0.3211703274087688,0.7777777728395062
I like chickens my pizza.,I do not like chicken in my pizza.,I like chickens in my pizza.,67.4542169673,0.8265921474,0.34191776499651855,0.7142857093877552
What we do then that the ferrier in.,What we do then that is where the ferrier comes in.,What do we do then that the ferrier is coming in.,54.7696683778,0.9156564474000001,0.30289764018096393,0.7619047569160999
It is you know.,It is such a great you know.,It is not you know.,43.8699875715,0.7817949057,0.0,0.6666666618055556
Ne sais pas.,Je ne sais pas.,Ne sais pas.,70.3817441855,0.9681930542,0.0,0.5714285665306124
Thank you much.,Thank you so much.,Thank you very much.,59.5241913606,0.9466950893,0.0,0.749999995
Put canadian football league.,Put on the canadian football league.,Put in the canadian football league.,89.2129258017,0.9795681238,0.6434588841607617,0.8333333283333335
But it up that.,But it swelled up like that.,But it is not going to be that.,29.244359868,0.6340819597,0.0,0.4285714236734694
What we do.,What are we going to do now.,What do we do.,16.6051256113,0.9252278805,0.0,0.5999999958
No it does.,No it does not go off.,No it does not.,63.4265881838,0.8297436833,0.4739878501170792,0.7999999952000001
Oh i do.,Oh i do not know.,Oh i do not know.,100.0,1.0000002384,1.0,0.999999995
And we two them back.,And so we moved two of them back.,And we got two of them back.,57.1333578911,0.9172964096,0.4962644776757998,0.7999999950222222
That sounds like screws things that ones i was you.,That sounds like those screws things that the one i was telling you about.,That sounds like screw things that the one i was talking about was not going to be.,63.2562916245,0.8825690150000001,0.35412968165085734,0.6666666616888889
