Source,Target,Gen_comp,ChrF,Cos_sim_t5,BLEU,RougeL
And they control.,And they wanted to control.,And they don't control.,52.1116794431,0.7642732263,0.0,0.6666666617283951
No i was going.,No i was not going to.,No i was going to go.,56.8766913551,0.8697841167,0.0,0.8333333283333335
On you are.,Come on you are.,On you are going to be.,43.8002231135,0.8465604782,0.0,0.39999999520000007
I become hard ass.,I had to become a hard ass.,I became hard as a rock.,30.1456767212,0.8460481167,0.0,0.3076923027218935
Ones is of suit.,No one is void of a suit.,One is a bit of a suit.,43.8046603812,0.7835803032,0.3655552228545123,0.6153846104142012
To breathe all time.,Trying to breathe all the time.,To breathe all the time.,74.5152775111,0.8760802746,0.6431870218238024,0.7272727223140496
And run it computer.,And run it through the computer.,And run it on the computer.,63.7477555831,0.935734272,0.0,0.8333333283333335
He uh take uh.,He said uh take the uh.,He uh take uh.,36.5144748156,0.9061126113,0.0,0.7499999953125
You should them here its birthday party.,You should wear them over here for your birthday party.,You should have them here at its birthday party.,51.7875771528,0.8539652228,0.0,0.6315789423822715
It all way.,Swing it all the way around.,It is all the way.,36.5826576839,0.7918244600000001,0.0,0.5454545404958678
Well you do to clothe.,Well you do not have to put on any clothes.,Well you do not have to do to clothe.,63.8979087162,0.9558163881,0.4861555413051454,0.7058823480968859
Oh i what i going do.,Oh i know what i am going to do though.,Oh i dont know what i am going to do.,69.5819899411,0.8309884071,0.6484115071397645,0.888888883888889
And then course it out.,And then of course it came out fine.,And then of course it came out.,84.1775161173,0.8339705467,0.767279645960659,0.9333333283555556
You just way around and that arm.,You can just swing all the way around and grab that arm.,You just have to get around and that arm.,38.3679000514,0.8588786125000001,0.0,0.5714285665306124
I ask you.,I was just going to ask you.,I ask you.,27.1193863197,0.8701024055000001,0.0,0.5999999958
I one of person that trouble with auto reverses.,I am one of these weird people that has trouble with auto reverse.,I am one of the people that have trouble with auto reverse.,76.5985098253,0.9788635969,0.4876485015882737,0.7999999950080001
And uh those what.,And uh that is what was happening.,And uh those are what.,27.9643873934,0.7261635065,0.0,0.499999995138889
Gradually bring it.,Just gradually bring it around.,Gradually bring it up.,55.650540071500004,0.9197477102,0.0,0.4444444395061729
She catch it.,She does not even catch it.,She caught it.,14.5725338629,0.8042885661,0.0,0.44444444000000005
Before i graduate.,Not before i graduate.,Before i graduate.,78.3707304349,0.9424684048,0.0,0.5714285665306124
Oh they must know.,Oh they must know each other.,Oh they must know.,58.8315979299,0.8126798272,0.4739878501170792,0.7999999952000001
We the right.,Are we doing the right.,We have the right.,42.5311578617,0.8046441078000001,0.0,0.4444444395061729
Over with i am at table there women.,Over with i am sitting down at a table there is a woman from.,Over with i am at the table there are women.,42.9706518299,0.8916116953000001,0.2084195394796976,0.6086956472589792
And then they.,And then they break.,And then they.,63.4265881838,0.7949978113,0.0,0.8571428522448981
We not talking stratosphere.,We are not talking stratosphere.,We are not talking about the stratosphere.,84.414450666,0.9772535563,0.4111336169005197,0.8333333284722222
I will have your other brothers well.,I will have to ask my other brothers as well.,I will have your other brothers well.,63.3866348158,0.8454315662,0.0,0.7058823480968859
I like chickens my pizza.,I do not like chicken in my pizza.,I like to put chicken on my pizza.,54.3090802113,0.8287975788,0.0,0.624999995
What we do then that the ferrier in.,What we do then that is where the ferrier comes in.,What we do then is that we put the ferrier in.,53.9253922122,0.9413897395,0.30289764018096393,0.7619047569160999
It is you know.,It is such a great you know.,It is you know.,39.5906926644,0.8676326275,0.0,0.7272727226446282
Ne sais pas.,Je ne sais pas.,I don't know.,2.8248587571,0.8886681199,0.0,0.0
Thank you much.,Thank you so much.,Thank you very much.,59.5241913606,0.9466950893,0.0,0.749999995
Put canadian football league.,Put on the canadian football league.,Put canadian football league.,77.8597842352,0.9601672888,0.4739878501170792,0.7999999952000001
But it up that.,But it swelled up like that.,But it is up to that.,28.6672795462,0.713152647,0.0,0.6666666616666668
What we do.,What are we going to do now.,What do we do.,16.6051256113,0.9252278805,0.0,0.5999999958
No it does.,No it does not go off.,No it doesn’t.,49.4019350484,0.7870575190000001,0.0,0.44444444000000005
Oh i do.,Oh i do not know.,Oh i do not.,56.7220819221,0.8445239067,0.5789300674674098,0.8888888839506174
And we two them back.,And so we moved two of them back.,And we have two of them back.,57.9774162887,0.8902189732,0.4962644776757998,0.7999999950222222
That sounds like screws things that ones i was you.,That sounds like those screws things that the one i was telling you about.,That sounds like screws things that i was just telling you.,63.8185902513,0.8713837266000001,0.0,0.799999995072
So i said.,So i said fine.,So i said.,51.3264675541,0.8805770278,0.0,0.8571428522448981
Oh wait mis what you checkout counters.,Oh wait a mi what did you do at the checkout counter.,Oh wait a minute mis what do you want to check out at the counter.,58.9489034287,0.8626708984,0.0,0.592592587654321
But did not get.,But did not get there.,But did not get to.,71.0379785842,0.9454382062000001,0.537284965911771,0.7999999950000002
You know i did her.,You know i did not want to thembarrass her.,You know i did not do it to her.,46.1196384436,0.8344441056,0.4671379777282001,0.7777777727777778
Well or we it you the.,Well or we could take it back you know in the.,Well or we can do it you know the.,42.9366369456,0.8633303642,0.0,0.6999999950500001
Who her living from this.,Who makes his living from doing this . mhm.,Who is her living from from this.,39.9572087643,0.795358181,0.0,0.5714285665306124
But anyway you they were teaching it way.,But anyway you know they were not teaching it that way.,But anyway you know they were teaching it the right way.,78.0989579869,0.8206653595000001,0.5156626918239822,0.8181818131818183
It has way.,It has a real way.,It has a way.,44.6996130981,0.8840691447000001,0.0,0.8888888839506174
