Source,Target,Gen_comp,ChrF,Cos_sim_t5
And they control.,And they wanted to control.,And they are under control.,50.616740027495176,0.80554295
No i was going.,No i was not going to.,No i was going to.,62.658927057569116,0.9272022
On you are.,Come on you are.,On you are.,55.353632523546906,0.9109831
I become hard ass.,I had to become a hard ass.,I have become hard as a.,43.85787988009807,0.84635305
Ones is of suit.,No one is void of a suit.,One of the suits is of a suit.,37.94192714406739,0.82036126
To breathe all time.,Trying to breathe all the time.,To breathe all the time.,74.51527751106467,0.8760803
And run it computer.,And run it through the computer.,And run it on the computer.,63.74775558312342,0.9357343
He uh take uh.,He said uh take the uh.,He uh take uh.,36.514474815607045,0.9061126
You should them here its birthday party.,You should wear them over here for your birthday party.,You should have them here at its birthday party.,51.78757715279198,0.8539652
It all way.,Swing it all the way around.,It is all the way.,36.582657683943786,0.79182446
Well you do to clothe.,Well you do not have to put on any clothes.,Well you do not have to wear cloth.,60.482578097239085,0.88482916
Oh i what i going do.,Oh i know what i am going to do though.,Oh i know what i am going to do.,78.43509442346738,0.98570657
And then course it out.,And then of course it came out fine.,And then of course it will come out.,65.30676603090397,0.78659415
You just way around and that arm.,You can just swing all the way around and grab that arm.,You just have to go around and get that arm.,40.468328143818766,0.88876146
I ask you.,I was just going to ask you.,I ask you.,27.119386319732463,0.8701024
I one of person that trouble with auto reverses.,I am one of these weird people that has trouble with auto reverse.,I am one of those people that has trouble with auto reverse.,82.00156749315784,0.98426926
And uh those what.,And uh that is what was happening.,And uh that is what.,54.530953807139625,0.85541725
Gradually bring it.,Just gradually bring it around.,Gradually bring it back.,54.69253579548015,0.90376186
She catch it.,She does not even catch it.,She did not catch it.,42.405851596560574,0.9288449
Before i graduate.,Not before i graduate.,Before i graduate.,78.3707304349177,0.9424684
Oh they must know.,Oh they must know each other.,Oh they must know.,58.831597929882264,0.8126798
We the right.,Are we doing the right.,We are not going to get the right.,50.843367536505305,0.7641282
Over with i am at table there women.,Over with i am sitting down at a table there is a woman from.,Over with i am sitting at the table there with the women.,55.373333880145914,0.8993006
And then they.,And then they break.,And then they were.,62.87916552596722,0.76682216
We not talking stratosphere.,We are not talking stratosphere.,We are not talking about the stratosphere.,84.41445066595882,0.97725356
I will have your other brothers well.,I will have to ask my other brothers as well.,I will have to have your other brothers well.,67.09782427852268,0.88473606
I like chickens my pizza.,I do not like chicken in my pizza.,I like chickens in my pizza.,67.45421696729743,0.82659215
What we do then that the ferrier in.,What we do then that is where the ferrier comes in.,What do we do then that the ferrier is in.,55.70706957141686,0.924512
It is you know.,It is such a great you know.,It is not you know.,43.869987571518024,0.7817949
Ne sais pas.,Je ne sais pas.,Ne sais pas.,70.38174418554695,0.96819305
Thank you much.,Thank you so much.,Thank you very much.,59.5241913605941,0.9466951
Put canadian football league.,Put on the canadian football league.,Put in the canadian football league.,89.21292580172816,0.9795681
But it up that.,But it swelled up like that.,But it is not going to be that.,29.244359868035747,0.63408196
What we do.,What are we going to do now.,What do we do.,16.60512561128288,0.9252279
No it does.,No it does not go off.,No it does not.,63.42658818377607,0.8297437
Oh i do.,Oh i do not know.,Oh i do not know.,100.0,1.0000002
And we two them back.,And so we moved two of them back.,And we have two of them back.,57.97741628870676,0.890219
That sounds like screws things that ones i was you.,That sounds like those screws things that the one i was telling you about.,That sounds like screw things like the one i was talking about was you.,58.19245759653469,0.89840114
So i said.,So i said fine.,So i said.,51.32646755413346,0.880577
Oh wait mis what you checkout counters.,Oh wait a mi what did you do at the checkout counter.,Oh wait mis what you do at the checkout counter.,74.50200408738982,0.9293777
But did not get.,But did not get there.,But did not get to.,71.0379785841966,0.9454382
You know i did her.,You know i did not want to thembarrass her.,You know i did not like her.,44.09342974818215,0.7675432
Well or we it you the.,Well or we could take it back you know in the.,Well or we will let it you know the.,39.762875065288824,0.77458984
Who her living from this.,Who makes his living from doing this . mhm.,Who is she living from from this.,40.45622806922796,0.7460562
But anyway you they were teaching it way.,But anyway you know they were not teaching it that way.,But anyway you know they were teaching it the way they were teaching it.,72.1121206802373,0.84194523
It has way.,It has a real way.,It has gone a long way.,37.979862720494324,0.7689827
Because they were fucking me hard.,Because they were fucking me around so hard.,Because they were fucking me hard.,72.6065475603209,0.9442747
I did think they but i they maybe.,I did not think they were but i think they maybe are.,I did not think they were but i thought they might be.,67.63031812369898,0.97939026
I us into that.,I mean let us look into pursuing that.,I am going to get us into that.,28.619274916142977,0.8284515
And i you make good dingo.,And i said oh well you must make good dingo.,And i think you make a good dingo.,40.98471585115626,0.8843299
And you breadbox like your cabinet.,And said oh whwhen you see a dark brown breadbox like your cabinets.,And you have a breadbox like in your cabinet.,43.46365493275739,0.8982377
They have real trails.,They have real pretty trails.,They have no real trails.,52.31861746396199,0.78351873
I voting favor of it.,I am voting in favor of it.,I am voting in favor of it.,100.0,1.0000001
